week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2026-01-05,BEV-001,STR-001,115,39,54,100,False
2026-01-05,BEV-001,STR-002,177,63,78,162,False
2026-01-05,BEV-001,STR-003,128,32,46,114,False
2026-01-05,BEV-001,STR-004,124,97,65,156,False
2026-01-05,BEV-001,STR-005,85,78,47,116,False
2026-01-05,BEV-001,STR-006,198,68,77,189,False
2026-01-05,BEV-001,STR-007,117,100,55,162,False
2026-01-05,BEV-001,STR-008,190,66,72,184,False
2026-01-05,BEV-001,STR-009,170,28,45,153,False
2026-01-05,BEV-001,STR-010,109,57,85,81,False
2026-01-05,BEV-001,STR-011,189,49,45,193,False
2026-01-05,BEV-001,STR-012,128,55,52,131,False
2026-01-05,BEV-001,STR-013,186,66,52,200,False
2026-01-05,BEV-001,STR-014,125,46,60,111,False
2026-01-05,BEV-001,STR-015,169,29,34,164,False
2026-01-05,BEV-001,STR-016,101,88,59,130,False
2026-01-05,BEV-001,STR-017,100,79,54,125,False
2026-01-05,BEV-001,STR-018,198,91,83,206,False
2026-01-05,BEV-001,STR-019,121,27,30,118,False
2026-01-05,BEV-001,STR-020,84,60,35,109,False
2026-01-05,BEV-001,STR-021,88,47,64,71,False
2026-01-05,BEV-001,STR-022,152,60,89,123,False
2026-01-05,BEV-001,STR-023,143,70,40,173,False
2026-01-05,BEV-001,STR-024,162,78,43,197,False
2026-01-05,BEV-001,STR-025,97,51,44,104,False
2026-01-05,BEV-001,STR-026,148,53,105,96,False
2026-01-05,BEV-001,STR-027,134,94,40,188,False
2026-01-05,BEV-001,STR-028,108,37,53,92,False
2026-01-05,BEV-001,STR-029,91,26,43,74,False
2026-01-05,BEV-001,STR-030,99,100,89,110,False
2026-01-05,BEV-001,STR-031,167,74,33,208,False
2026-01-05,BEV-001,STR-032,129,68,68,129,False
2026-01-05,BEV-001,STR-033,139,87,49,177,False
2026-01-05,BEV-001,STR-034,150,21,69,102,False
2026-01-05,BEV-001,STR-035,94,88,60,122,False
2026-01-05,BEV-001,STR-036,178,63,72,169,False
2026-01-05,BEV-001,STR-037,135,40,52,123,False
2026-01-05,BEV-001,STR-038,172,53,60,165,False
2026-01-05,BEV-001,STR-039,177,42,36,183,False
2026-01-05,BEV-001,STR-040,93,100,51,142,False
2026-01-05,BEV-002,STR-001,161,84,57,188,False
2026-01-05,BEV-002,STR-002,99,67,105,61,False
2026-01-05,BEV-002,STR-003,149,87,66,170,False
2026-01-05,BEV-002,STR-004,156,61,54,163,False
2026-01-05,BEV-002,STR-005,94,66,35,125,False
2026-01-05,BEV-002,STR-006,186,59,84,161,False
2026-01-05,BEV-002,STR-007,110,92,35,167,False
2026-01-05,BEV-002,STR-008,90,82,68,104,False
2026-01-05,BEV-002,STR-009,177,88,88,177,False
2026-01-05,BEV-002,STR-010,96,80,118,58,False
2026-01-05,BEV-002,STR-011,101,53,49,105,False
2026-01-05,BEV-002,STR-012,157,74,46,185,False
2026-01-05,BEV-002,STR-013,198,89,55,232,False
2026-01-05,BEV-002,STR-014,168,45,142,71,False
2026-01-05,BEV-002,STR-015,131,67,62,136,False
2026-01-05,BEV-002,STR-016,146,77,59,164,False
2026-01-05,BEV-002,STR-017,108,28,41,95,False
2026-01-05,BEV-002,STR-018,155,90,76,169,False
2026-01-05,BEV-002,STR-019,108,20,43,85,False
2026-01-05,BEV-002,STR-020,160,27,59,128,False
2026-01-05,BEV-002,STR-021,195,24,45,174,False
2026-01-05,BEV-002,STR-022,89,85,90,84,False
2026-01-05,BEV-002,STR-023,165,82,28,219,False
2026-01-05,BEV-002,STR-024,96,93,38,151,False
2026-01-05,BEV-002,STR-025,111,80,58,133,False
2026-01-05,BEV-002,STR-026,104,32,149,0,True
2026-01-05,BEV-002,STR-027,135,65,39,161,False
2026-01-05,BEV-002,STR-028,139,26,60,105,False
2026-01-05,BEV-002,STR-029,162,32,68,126,False
2026-01-05,BEV-002,STR-030,173,63,73,163,False
2026-01-05,BEV-002,STR-031,93,51,71,73,False
2026-01-05,BEV-002,STR-032,148,77,65,160,False
2026-01-05,BEV-002,STR-033,103,55,49,109,False
2026-01-05,BEV-002,STR-034,191,29,95,125,False
2026-01-05,BEV-002,STR-035,190,90,13,267,False
2026-01-05,BEV-002,STR-036,163,89,58,194,False
2026-01-05,BEV-002,STR-037,91,50,85,56,False
2026-01-05,BEV-002,STR-038,142,81,77,146,False
2026-01-05,BEV-002,STR-039,131,27,40,118,False
2026-01-05,BEV-002,STR-040,80,69,30,119,False
2026-01-05,BEV-003,STR-001,180,78,47,211,False
2026-01-05,BEV-003,STR-002,169,91,83,177,False
2026-01-05,BEV-003,STR-003,142,39,66,115,False
2026-01-05,BEV-003,STR-004,107,27,44,90,False
2026-01-05,BEV-003,STR-005,149,27,41,135,False
2026-01-05,BEV-003,STR-006,87,26,98,15,False
2026-01-05,BEV-003,STR-007,144,87,49,182,False
2026-01-05,BEV-003,STR-008,145,30,53,122,False
2026-01-05,BEV-003,STR-009,88,96,52,132,False
2026-01-05,BEV-003,STR-010,190,50,85,155,False
2026-01-05,BEV-003,STR-011,200,92,40,252,False
2026-01-05,BEV-003,STR-012,156,25,59,122,False
2026-01-05,BEV-003,STR-013,133,94,57,170,False
2026-01-05,BEV-003,STR-014,120,53,76,97,False
2026-01-05,BEV-003,STR-015,171,60,36,195,False
2026-01-05,BEV-003,STR-016,130,36,35,131,False
2026-01-05,BEV-003,STR-017,118,78,67,129,False
2026-01-05,BEV-003,STR-018,176,29,82,123,False
2026-01-05,BEV-003,STR-019,159,92,40,211,False
2026-01-05,BEV-003,STR-020,89,88,60,117,False
2026-01-05,BEV-003,STR-021,113,36,35,114,False
2026-01-05,BEV-003,STR-022,192,28,87,133,False
2026-01-05,BEV-003,STR-023,127,56,42,141,False
2026-01-05,BEV-003,STR-024,186,89,41,234,False
2026-01-05,BEV-003,STR-025,158,87,63,182,False
2026-01-05,BEV-003,STR-026,184,90,84,190,False
2026-01-05,BEV-003,STR-027,164,33,58,139,False
2026-01-05,BEV-003,STR-028,97,53,59,91,False
2026-01-05,BEV-003,STR-029,93,90,52,131,False
2026-01-05,BEV-003,STR-030,116,97,79,134,False
2026-01-05,BEV-003,STR-031,123,46,20,149,False
2026-01-05,BEV-003,STR-032,189,53,64,178,False
2026-01-05,BEV-003,STR-033,112,26,50,88,False
2026-01-05,BEV-003,STR-034,134,55,104,85,False
2026-01-05,BEV-003,STR-035,122,36,38,120,False
2026-01-05,BEV-003,STR-036,113,40,68,85,False
2026-01-05,BEV-003,STR-037,150,74,64,160,False
2026-01-05,BEV-003,STR-038,94,29,68,55,False
2026-01-05,BEV-003,STR-039,168,39,57,150,False
2026-01-05,BEV-003,STR-040,186,67,57,196,False
2026-01-05,BEV-004,STR-001,98,75,57,116,False
2026-01-05,BEV-004,STR-002,119,66,70,115,False
2026-01-05,BEV-004,STR-003,181,25,60,146,False
2026-01-05,BEV-004,STR-004,106,51,43,114,False
2026-01-05,BEV-004,STR-005,125,91,70,146,False
2026-01-05,BEV-004,STR-006,132,99,113,118,False
2026-01-05,BEV-004,STR-007,198,50,42,206,False
2026-01-05,BEV-004,STR-008,182,42,51,173,False
2026-01-05,BEV-004,STR-009,83,42,58,67,False
2026-01-05,BEV-004,STR-010,122,72,98,96,False
2026-01-05,BEV-004,STR-011,190,51,52,189,False
2026-01-05,BEV-004,STR-012,180,33,50,163,False
2026-01-05,BEV-004,STR-013,84,80,39,125,False
2026-01-05,BEV-004,STR-014,184,78,84,178,False
2026-01-05,BEV-004,STR-015,185,49,30,204,False
2026-01-05,BEV-004,STR-016,164,44,65,143,False
2026-01-05,BEV-004,STR-017,115,28,42,101,False
2026-01-05,BEV-004,STR-018,115,64,96,83,False
2026-01-05,BEV-004,STR-019,131,88,60,159,False
2026-01-05,BEV-004,STR-020,83,34,37,80,False
2026-01-05,BEV-004,STR-021,113,42,59,96,False
2026-01-05,BEV-004,STR-022,113,24,93,44,False
2026-01-05,BEV-004,STR-023,135,64,23,176,False
2026-01-05,BEV-004,STR-024,120,75,66,129,False
2026-01-05,BEV-004,STR-025,145,34,67,112,False
